CRPFilerid,is_scam
C00721647,0
C00753640,0
C00101212,0
C00625731,0
C00399642,0
C00631820,0
C00527283,0
C00657288,0
C00268904,0
C00736777,0
C00384602,0
C00730796,0
C00603415,0
C00711192,0
C00032698,0
C00453704,0
C00332254,0
C00059907,0
C00668640,0
C00752261,0
C00755959,0
C00700021,0
C00756189,0
C00695833,0
C00728683,0
C00431361,0
C00179408,1
C00075994,0
C00488403,0
C00390161,0
C00583435,0
C00659888,0
C00139519,0
C00625533,0
C00709220,0
C00279216,0
C00680132,0
C00635219,0
C00638163,0
C00410670,0
C00540435,0
C00742338,0
C00749358,0
C00741827,0
C00651091,0
C00451575,0
C00399444,0
C00461574,0
C00692988,0
C00437525,0
C00397554,0
C00160770,0
C00750497,0
C00412312,0
C00684480,0
C00718114,0
C00389429,0
C00003988,1
C00542092,0
C00525063,0
C00279828,0
C00211524,0
C00602516,0
C00096156,1
C00120055,0
C00099234,0
C00743633,0
C00503870,0
C00627489,0
C00755348,0
C00484535,0
C00428979,0
C00458406,0
C00344754,0
C00615344,0
C00385534,0
C00636068,0
C00252825,0
C00040881,0
C00241000,0
C00714303,0
C00745448,0
C00215202,0
C00373696,0
C00733766,0
C00427260,0
C00349233,0
C00455725,0
C00342113,0
C00748186,0
C00335570,0
C00754408,0
C00641183,0
C00698118,0
C00709089,0
C00481176,0
C00489617,0
C00627836,0
C00493841,0
C00688168,0
C00689034,0
C00402826,0
C00628388,0
C00722447,0
C00040741,0
C00739938,0
C00675660,0
C00742767,0
C00496919,0
C00432526,0
C00568170,0
C00195362,0
C00429175,0
C00512855,0
C00633792,0
C00693861,0
C00749713,0
C00694570,0
C00109546,0
C00365270,0
C00041236,0
C00487181,0
C00499798,0
C00691477,0
C00011262,0
C00326009,0
C00363812,0
C00233304,0
C00096362,0
C00627075,0
C00666461,0
C00456939,0
C00211763,0
C00625285,0
C00549279,0
C00652842,0
C00340083,0
C00759100,0
C00736744,0
C00012468,0
C00071365,0
C00630038,0
C00638064,0
C00708560,0
C00627851,0
C00129171,0
C00748335,0
C00757575,0
C00333658,0
C00442368,0
C00688655,1
C00546473,0
C00497917,0
C00655142,0
C00489252,0
C00469890,0
C00716183,0
C00012484,0
C00566174,0
C00510149,0
C00558759,0
C00369181,0
C00739508,0
C00693333,0
C00743682,0
C00490474,0
C00757419,0
C00390526,0
C00718932,0
